block_number,price,percentagePlus1,percentagePlus2,percentagePlus3,percentagePlus4,percentagePlus5,percentagePlus6,percentagePlus7,percentagePlus8,percentagePlus9,percentagePlus10
6933862,3000000000,11.11,33.33,17.65,14.29,74.51,51.52,3.33,49.40,17.39,50.00
6933494,8000000000,89.29,53.12,31.03,54.02,65.67,34.71,60.00,5.56,8.33,62.50
6933798,4550000000,40.52,25.00,50.88,78.57,42.19,37.50,69.23,6.67,87.50,20.00
6933799,4000000000,21.77,68.29,1.59,38.93,39.24,1.49,50.00,16.18,18.12,36.67
6933813,3000000000,52.00,0.98,1.28,23.17,3.03,54.05,-1.00,0.64,38.04,80.77
6933704,3900000000,9.60,16.92,31.31,22.22,58.54,25.93,31.03,14.00,50.00,14.29
6933770,4550000000,11.73,15.29,89.29,11.11,3.70,37.50,10.00,6.67,69.23,42.19
6933893,3900000000,79.05,33.33,27.84,1.39,2.78,41.55,0.91,65.35,24.66,0.67
6933917,3000000000,75.00,14.71,28.57,26.36,30.65,48.21,29.60,97.47,25.00,70.83
6933999,5000000000,83.11,38.04,100.00,25.71,100.00,0.91,18.97,71.43,2.78,47.89
6934010,2600000000,60.87,0.94,19.18,25.71,71.43,9.62,1.49,13.39,52.50,22.44
6933648,7000000000,2.27,42.44,45.45,11.04,10.07,59.57,63.44,93.55,80.17,4.55
6933689,3000000000,0.64,9.09,5.00,7.69,52.52,35.03,-1.00,-1.00,-1.00,30.00
6933761,3000000000,18.18,48.39,2.38,10.00,31.40,6.25,2.50,18.18,28.12,37.21
6933832,2500000000,2.33,1.06,45.56,7.64,64.71,96.97,33.33,23.81,48.28,12.87
6933982,4000000000,34.48,52.38,-1.00,56.25,32.95,78.26,3.45,15.43,44.44,36.27
6933997,7000000000,10.07,42.44,63.44,93.55,45.45,11.04,2.27,80.17,4.55,59.57
6933420,3000000000,100.00,17.74,2.70,94.12,14.29,2.13,15.87,41.74,29.41,5.26
6933584,3000000000,-1.00,0.64,38.30,88.17,5.00,20.00,27.38,54.05,1.28,52.00
6933883,3000000000,56.67,8.65,43.18,12.50,54.46,3.70,27.78,10.00,11.11,9.72
6933634,3000000000,0.00,2.70,0.89,9.30,60.29,16.67,2.22,12.73,4.35,20.00
6933671,3000000000,2.15,12.20,58.70,4.82,-1.00,53.33,71.43,1.25,90.57,55.32
6933942,3900000000,27.84,0.67,78.05,2.76,24.14,12.35,24.66,1.39,7.19,73.91
6933947,3000000000,22.22,71.55,-1.00,2.50,18.18,15.15,18.18,18.18,28.12,37.21
6933471,6000000000,5.56,49.43,31.40,35.06,60.00,8.33,53.73,58.75,89.29,20.74
6933572,3900000000,15.65,6.67,25.00,10.66,46.85,67.48,3.23,0.95,20.00,2.22
6933445,4150987148,18.12,21.77,38.33,39.24,37.31,60.00,40.46,1.49,49.50,1.59
6933489,2500000000,29.79,7.64,64.71,96.97,1.06,3.51,12.87,45.56,33.33,0.55
6933594,3000000000,6.98,0.64,52.00,5.00,27.38,17.82,38.30,88.17,20.00,55.17
6933744,3100000000,64.29,20.00,2.78,31.90,20.51,70.83,25.00,40.35,34.12,1.48
6933875,4500000000,27.50,50.00,59.67,14.29,44.44,25.37,6.62,81.82,100.00,41.49
6933890,3000000000,30.36,60.00,1.08,-1.00,26.32,4.76,50.00,21.78,44.83,67.98
6933926,7200340000,41.32,31.09,52.13,81.82,11.11,17.09,18.18,13.25,35.00,70.00
6933376,5000000000,24.63,-1.00,-1.00,-1.00,2.33,45.90,17.24,-1.00,1.96,35.94
6933613,3000000000,12.82,25.51,14.29,4.76,59.57,52.94,0.68,40.52,31.82,4.55
6933714,3000000000,0.95,42.74,24.24,50.00,14.29,57.72,3.23,20.00,2.22,9.63
6933826,3000000000,9.52,12.07,86.36,1.22,35.19,18.18,25.61,75.00,15.15,22.22
6933994,3900000000,47.62,-1.00,56.25,31.82,34.31,53.33,24.14,12.35,44.44,34.72
6933567,3000000000,2.00,71.43,90.57,55.32,14.19,55.00,1.25,53.33,5.38,100.00
6933658,3100000000,10.16,-1.00,67.03,13.64,0.66,10.00,1.85,7.01,87.50,5.56
6933816,3000000000,30.36,50.00,67.98,1.08,60.00,21.78,44.83,-1.00,26.32,0.90
6933741,3000000000,21.78,44.83,-1.00,26.32,4.76,50.00,67.98,1.08,30.36,60.00
6934002,3900000000,65.35,1.39,78.05,7.19,0.91,33.33,27.84,24.66,0.67,73.91
6933477,3000000000,92.59,22.66,7.38,17.31,55.56,43.84,32.65,23.08,16.67,46.67
6933529,2860000000,1.08,48.33,1.72,21.86,100.00,19.73,-1.00,0.68,1.49,61.70
6933964,3900000000,2.76,12.35,47.62,0.67,1.39,7.19,73.91,24.66,78.05,24.14
6933655,2860000000,48.89,100.00,1.72,0.68,9.03,2.00,1.08,48.33,19.73,-1.00
6933824,2759734681,19.23,0.94,1.19,6.25,8.33,0.95,65.85,1.22,2.54,0.77
6933464,3000000000,-1.00,54.05,1.28,38.30,88.17,-1.00,-1.00,-1.00,0.64,52.00
6933546,3000000000,26.19,66.67,1.69,21.30,18.24,29.01,0.80,70.35,3.03,1.69
6933693,3000000000,12.82,2.70,0.89,9.30,60.29,16.67,20.00,0.00,59.57,52.94
6933911,3900000000,45.07,44.93,15.52,100.00,16.43,57.35,19.39,31.90,17.90,33.33
6933958,3000000000,15.62,1.47,66.67,75.00,90.57,22.54,37.62,2.86,38.78,61.75
6933412,8000000000,60.00,5.56,8.33,65.67,89.29,53.12,31.03,54.02,62.50,34.71
6933501,2300000000,61.90,1.79,0.81,14.75,45.05,2.63,0.70,2.86,-1.00,0.89
6933849,3000000000,12.50,25.00,11.11,9.72,54.46,43.18,3.70,65.00,10.00,8.65
6933432,3000000000,5.88,41.74,94.12,1.12,27.34,5.71,2.70,55.00,0.52,17.74
6933444,3000000000,16.67,46.67,-1.00,-1.00,1.69,21.30,32.65,23.08,22.66,-1.00
6933829,3000000000,50.00,21.78,67.98,1.08,-1.00,26.32,30.36,60.00,44.83,0.90
6933792,3000000000,26.76,76.00,10.00,8.65,9.72,6.25,15.07,27.78,56.67,11.11
6933828,3000000000,33.33,9.09,100.00,20.00,31.52,44.12,20.34,32.56,16.67,50.00
6933478,3000000000,3.03,1.69,21.30,7.38,17.31,22.66,32.65,23.08,16.67,46.67
6933683,3000000000,24.24,91.30,28.68,1.63,12.88,58.33,22.81,32.14,43.75,2.15
6933759,3000000000,86.36,1.22,22.22,71.55,18.18,35.19,15.15,18.18,-1.00,2.50
6933778,6000000000,31.40,89.29,35.06,20.74,60.00,8.33,58.75,5.56,49.43,53.73
6933387,6000000000,35.06,5.56,8.33,53.73,58.75,31.40,89.29,20.74,60.00,49.43
6933451,8000000000,65.67,62.50,34.71,89.29,53.12,31.03,8.33,54.02,60.00,5.56
6933871,3000000000,4.00,1.64,42.17,36.73,9.88,1.54,59.57,1.35,1.10,10.00
6933515,3000000000,41.74,2.70,29.41,2.13,5.26,94.12,14.29,15.87,100.00,100.00
6933535,3000000000,1.25,90.57,53.33,100.00,55.00,55.32,14.19,2.00,5.38,1.72
6933598,3000000000,0.95,20.00,2.22,24.24,50.00,9.63,57.72,3.23,42.74,14.29
6933797,7200340000,70.00,42.47,55.56,-1.00,5.26,21.13,20.00,79.41,72.41,44.19
6933807,2420000000,2.63,16.47,74.84,8.13,0.79,1.80,-1.00,7.56,21.05,0.76
6934004,3000000000,2.63,1.12,31.43,5.88,28.12,40.00,28.21,40.91,28.00,1.45
6933433,3000000000,5.26,100.00,24.09,29.41,15.87,100.00,2.13,2.70,94.12,14.29
6933443,3000000000,1.69,21.30,22.66,23.08,16.67,-1.00,3.03,-1.00,-1.00,32.65
6933469,3000000000,0.64,14.29,38.04,80.77,23.17,54.05,1.28,0.98,3.03,-1.00
6933407,6000000000,20.74,41.09,55.45,1.59,31.45,48.51,60.00,51.91,25.00,48.33
6933552,3000000000,43.75,1.63,2.15,58.70,91.30,22.81,12.88,12.20,32.14,28.68
6933557,3080000000,1.35,21.65,31.52,43.37,1.10,10.00,9.88,6.34,1.64,38.78
6933601,3000000000,16.67,12.82,2.70,0.89,9.30,60.29,0.00,20.00,59.57,52.94
6933624,2860000000,100.00,48.33,19.73,0.68,1.08,1.72,-1.00,1.49,61.70,21.86
6933628,4550000000,42.19,37.50,6.67,69.23,40.52,87.50,25.00,50.88,78.57,-1.00
6933629,3000000000,2.38,100.00,16.67,5.00,26.58,48.24,76.77,-1.00,26.89,36.84
6933651,3000000000,64.29,20.00,34.12,27.85,4.76,30.36,2.78,36.51,60.00,50.00
6933775,3110000000,47.06,21.57,49.61,7.14,75.70,45.74,12.50,64.44,1.05,35.85
6933934,2860000000,0.89,2.13,13.16,84.78,19.64,2.63,76.19,1.79,58.33,3.03
6933980,5000000000,71.43,2.78,83.11,47.89,0.91,38.04,100.00,25.71,18.97,100.00
6933484,8000000000,53.12,60.00,65.67,89.29,31.03,5.56,8.33,54.02,62.50,34.71
6933537,3000000000,54.05,1.28,-1.00,0.64,52.00,88.17,5.00,23.17,3.03,38.30
6933614,3000000000,2.15,12.20,58.70,-1.00,71.43,4.82,1.25,90.57,55.32,53.33
6933664,7000000000,63.44,93.55,-1.00,4.55,11.04,2.27,10.07,42.44,45.45,59.57
6933821,3100000000,13.64,10.00,7.01,67.03,1.85,87.50,5.56,10.16,-1.00,0.66
6933525,3000000000,22.81,32.14,43.75,76.19,1.79,17.02,58.33,24.24,91.30,28.68
6933570,2860000000,48.33,1.49,61.70,1.08,100.00,1.72,19.73,-1.00,0.68,21.86
6933667,3750000000,27.74,34.22,1.30,64.29,5.26,100.00,15.38,29.77,62.81,-1.00
6933812,3000000000,36.73,1.54,59.57,10.00,9.88,4.00,1.64,42.17,1.35,1.10
6933654,3900000000,46.85,67.48,10.66,15.65,6.67,25.00,3.23,0.95,20.00,54.39
